similarity,corruption,rank,topK,iter,lambda,weight_u_i,metric,NDCG@K,Recall@50,weight_i,weight_u,Recall@100
Cosine,0.2,50,100,200,0.0001,,,"[0.4902, 0.013]",,0.1,0.9,"[0.5093, 0.017]"
Cosine,0.2,50,100,200,0.0001,,,"[0.4838, 0.0129]",,0.2,0.8,"[0.4984, 0.0171]"
Cosine,0.2,50,100,200,0.0001,,,"[0.4806, 0.0129]",,0.3,0.7,"[0.4874, 0.0168]"
Cosine,0.2,50,100,200,0.0001,,,"[0.4731, 0.013]",,0.4,0.6,"[0.4692, 0.0165]"
Cosine,0.2,50,100,200,0.0001,,,"[0.4716, 0.013]",,0.5,0.5,"[0.4569, 0.0162]"
Cosine,0.2,50,100,200,0.0001,,,"[0.4681, 0.0134]",,0.6,0.4,"[0.444, 0.0161]"
Cosine,0.2,50,100,200,0.0001,,,"[0.4622, 0.0135]",,0.7,0.3,"[0.4263, 0.0158]"
Cosine,0.2,50,100,200,0.0001,,,"[0.4595, 0.0138]",,0.8,0.2,"[0.4037, 0.0153]"
Cosine,0.2,50,100,200,0.0001,,,"[0.4535, 0.0139]",,0.9,0.1,"[0.3842, 0.0149]"
Cosine,0.2,50,100,200,0.0001,,,"[0.4498, 0.0147]",,1.0,0.0,"[0.35, 0.0143]"
Cosine,0.3,50,50,200,0.0001,,,"[0.4845, 0.0145]","[0.3328, 0.0146]",0.0,1.0,
Cosine,0.3,50,50,200,0.0001,,,"[0.4783, 0.0145]","[0.3349, 0.0147]",0.1,0.9,
Cosine,0.3,50,50,200,0.0001,,,"[0.4693, 0.0145]","[0.3322, 0.0147]",0.2,0.8,
Cosine,0.3,50,50,200,0.0001,,,"[0.4662, 0.0145]","[0.3249, 0.0146]",0.3,0.7,
Cosine,0.3,50,50,200,0.0001,,,"[0.462, 0.0145]","[0.3141, 0.0144]",0.4,0.6,
Cosine,0.3,50,50,200,0.0001,,,"[0.4614, 0.0145]","[0.304, 0.0138]",0.5,0.5,
Cosine,0.3,50,50,200,0.0001,,,"[0.455, 0.0148]","[0.2926, 0.0132]",0.6,0.4,
Cosine,0.3,50,50,200,0.0001,,,"[0.4532, 0.015]","[0.2824, 0.0131]",0.7,0.3,
Cosine,0.3,50,50,200,0.0001,,,"[0.4552, 0.0151]","[0.2747, 0.0132]",0.8,0.2,
Cosine,0.3,50,50,200,0.0001,,,"[0.4529, 0.0152]","[0.2693, 0.0129]",0.9,0.1,
Cosine,0.3,50,50,200,0.0001,,,"[0.4396, 0.016]","[0.2425, 0.012]",1.0,0.0,
Cosine,0.3,50,100,200,0.0001,,,"[0.4903, 0.0129]",,0.0,1.0,"[0.4984, 0.0164]"
Cosine,0.3,50,100,200,0.0001,,,"[0.4873, 0.0131]",,0.1,0.9,"[0.5038, 0.0172]"
Cosine,0.3,50,100,200,0.0001,,,"[0.4839, 0.013]",,0.2,0.8,"[0.4971, 0.0171]"
Cosine,0.3,50,100,200,0.0001,,,"[0.4793, 0.0132]",,0.3,0.7,"[0.4865, 0.0169]"
Cosine,0.3,50,100,200,0.0001,,,"[0.4722, 0.0131]",,0.4,0.6,"[0.4686, 0.0166]"
Cosine,0.3,50,100,200,0.0001,,,"[0.4689, 0.0133]",,0.5,0.5,"[0.455, 0.0163]"
Cosine,0.3,50,100,200,0.0001,,,"[0.4648, 0.0133]",,0.6,0.4,"[0.4413, 0.0159]"
Cosine,0.3,50,100,200,0.0001,,,"[0.4589, 0.0136]",,0.7,0.3,"[0.4167, 0.0155]"
Cosine,0.3,50,100,200,0.0001,,,"[0.4581, 0.0139]",,0.8,0.2,"[0.4027, 0.0153]"
Cosine,0.3,50,100,200,0.0001,,,"[0.4499, 0.0145]",,0.9,0.1,"[0.3732, 0.0147]"
Cosine,0.3,50,100,200,0.0001,,,"[0.454, 0.0145]",,1.0,0.0,"[0.3615, 0.0145]"
Cosine,0.4,50,50,200,0.0001,,,"[0.482, 0.0147]","[0.3295, 0.0145]",0.0,1.0,
Cosine,0.4,50,50,200,0.0001,,,"[0.4759, 0.0147]","[0.3333, 0.0148]",0.1,0.9,
Cosine,0.4,50,50,200,0.0001,,,"[0.4715, 0.0146]","[0.3313, 0.0148]",0.2,0.8,
Cosine,0.4,50,50,200,0.0001,,,"[0.4666, 0.0146]","[0.3249, 0.0147]",0.3,0.7,
Cosine,0.4,50,50,200,0.0001,,,"[0.4591, 0.0147]","[0.3102, 0.014]",0.4,0.6,
Cosine,0.4,50,50,200,0.0001,,,"[0.4631, 0.0147]","[0.3064, 0.0138]",0.5,0.5,
Cosine,0.4,50,50,200,0.0001,,,"[0.4575, 0.015]","[0.2947, 0.0136]",0.6,0.4,
Cosine,0.4,50,50,200,0.0001,,,"[0.4549, 0.015]","[0.2855, 0.0133]",0.7,0.3,
Cosine,0.4,50,50,200,0.0001,,,"[0.4524, 0.0153]","[0.2746, 0.0129]",0.8,0.2,
Cosine,0.4,50,50,200,0.0001,,,"[0.4513, 0.0153]","[0.2685, 0.0129]",0.9,0.1,
Cosine,0.4,50,50,200,0.0001,,,"[0.4541, 0.0157]","[0.2553, 0.0126]",1.0,0.0,
Cosine,0.4,50,100,200,0.0001,,,"[0.4901, 0.0131]",,0.0,1.0,"[0.4956, 0.0164]"
Cosine,0.4,50,100,200,0.0001,,,"[0.4874, 0.0132]",,0.1,0.9,"[0.502, 0.0171]"
Cosine,0.4,50,100,200,0.0001,,,"[0.4816, 0.0131]",,0.2,0.8,"[0.4968, 0.0172]"
Cosine,0.4,50,100,200,0.0001,,,"[0.4744, 0.0133]",,0.3,0.7,"[0.4821, 0.0169]"
Cosine,0.4,50,100,200,0.0001,,,"[0.4721, 0.0133]",,0.4,0.6,"[0.4652, 0.0167]"
