similarity,corruption,rank,topK,iter,lambda,weight_u_i,metric,NDCG,Recall@5,tok,weight_i,weight_u,Recall@10,Recall@15,Recall@20,Recall@50
Cosine,0.4,50,,200,1e-05,,,"[0.1508, 0.0097]",,20.0,0.7,0.3,,,"[0.1659, 0.0113]",
Cosine,0.4,50,,200,1e-05,,,"[0.1521, 0.0098]",,20.0,0.8,0.2,,,"[0.1664, 0.0114]",
Cosine,0.4,50,,200,1e-05,,,"[0.1507, 0.0095]",,20.0,0.9,0.1,,,"[0.1627, 0.0109]",
Cosine,0.4,50,,200,1e-05,,,"[0.1525, 0.0096]",,20.0,1.0,0.0,,,"[0.1602, 0.0107]",
Cosine,0.4,50,,200,1e-05,,,"[0.2205, 0.0105]",,50.0,0.0,1.0,,,,"[0.33, 0.0156]"
Cosine,0.4,50,,200,1e-05,,,"[0.236, 0.0111]",,50.0,0.1,0.9,,,,"[0.3495, 0.0169]"
Cosine,0.4,50,,200,1e-05,,,"[0.2305, 0.0111]",,50.0,0.2,0.8,,,,"[0.3412, 0.0168]"
Cosine,0.4,50,,200,1e-05,,,"[0.2298, 0.011]",,50.0,0.3,0.7,,,,"[0.3339, 0.0167]"
Cosine,0.4,50,,200,1e-05,,,"[0.2335, 0.0114]",,50.0,0.4,0.6,,,,"[0.3364, 0.0171]"
Cosine,0.4,50,,200,1e-05,,,"[0.2273, 0.0113]",,50.0,0.5,0.5,,,,"[0.3243, 0.0165]"
Cosine,0.4,50,,200,1e-05,,,"[0.2261, 0.0113]",,50.0,0.6,0.4,,,,"[0.3156, 0.0162]"
Cosine,0.4,50,,200,1e-05,,,"[0.221, 0.0111]",,50.0,0.7,0.3,,,,"[0.3079, 0.0158]"
Cosine,0.4,50,,200,1e-05,,,"[0.2207, 0.0111]",,50.0,0.8,0.2,,,,"[0.2986, 0.0153]"
Cosine,0.4,50,,200,1e-05,,,"[0.214, 0.0113]",,50.0,0.9,0.1,,,,"[0.2915, 0.0156]"
Cosine,0.4,50,,200,1e-05,,,"[0.2105, 0.011]",,50.0,1.0,0.0,,,,"[0.2772, 0.0145]"
Cosine,0.5,50,,200,1e-05,,,"[0.069, 0.007]","[0.0509, 0.0058]",5.0,0.0,1.0,,,,
Cosine,0.5,50,,200,1e-05,,,"[0.0727, 0.0072]","[0.0512, 0.0056]",5.0,0.1,0.9,,,,
Cosine,0.5,50,,200,1e-05,,,"[0.0751, 0.0071]","[0.0532, 0.0056]",5.0,0.2,0.8,,,,
Cosine,0.5,50,,200,1e-05,,,"[0.0773, 0.0072]","[0.0541, 0.0056]",5.0,0.3,0.7,,,,
Cosine,0.5,50,,200,1e-05,,,"[0.0773, 0.0071]","[0.0542, 0.0055]",5.0,0.4,0.6,,,,
Cosine,0.5,50,,200,1e-05,,,"[0.0752, 0.007]","[0.0514, 0.0052]",5.0,0.5,0.5,,,,
Cosine,0.5,50,,200,1e-05,,,"[0.0754, 0.0067]","[0.0514, 0.0052]",5.0,0.6,0.4,,,,
Cosine,0.5,50,,200,1e-05,,,"[0.0797, 0.0074]","[0.0545, 0.0057]",5.0,0.7,0.3,,,,
Cosine,0.5,50,,200,1e-05,,,"[0.0774, 0.0069]","[0.0532, 0.0053]",5.0,0.8,0.2,,,,
Cosine,0.5,50,,200,1e-05,,,"[0.0753, 0.0068]","[0.0509, 0.0051]",5.0,0.9,0.1,,,,
Cosine,0.5,50,,200,1e-05,,,"[0.0758, 0.0069]","[0.0507, 0.0052]",5.0,1.0,0.0,,,,
